,0
1531,307959703
1532,307969703
1533,308171803
1534,308282803
1535,308343803
1536,308424803
1537,308454803
1538,308525803
1539,308535803
1540,308646803
1541,308666803
1542,308808803
1543,308828803
1544,308888803
1545,308898803
1546,308969803
1547,309010903
1548,309070903
1549,309080903
1550,309181903
1551,309272903
1552,309434903
1553,309515903
1554,309626903
1555,309656903
1556,309787903
1557,309818903
1558,309878903
1559,309919903
1560,309949903
1561,309979903
1562,310131013
1563,310212013
1564,310222013
1565,310282013
1566,310383013
1567,310585013
1568,310606013
1569,310626013
1570,310636013
1571,310696013
1572,310707013
1573,310737013
1574,310747013
1575,310767013
1576,310969013
1577,310989013
1578,311262113
1579,311373113
1580,311414113
1581,311444113
1582,311484113
1583,311555113
1584,311636113
1585,311868113
1586,312020213
1587,312040213
1588,312050213
1589,312080213
1590,312373213
1591,312505213
1592,312545213
1593,312626213
1594,312676213
1595,312737213
1596,312787213
1597,312797213
1598,312838213
1599,312848213
1600,312929213
1601,312979213
1602,312989213
1603,313020313
1604,313111313
1605,313222313
1606,313383313
1607,313434313
1608,313545313
1609,313686313
1610,313999313
1611,314282413
1612,314303413
1613,314313413
1614,314333413
1615,314373413
1616,314535413
1617,314555413
1618,314646413
1619,314747413
1620,314898413
1621,315010513
1622,315050513
1623,315070513
1624,315131513
1625,315272513
1626,315313513
1627,315353513
1628,315424513
1629,315494513
1630,315535513
1631,315656513
1632,315727513
1633,315808513
1634,315868513
1635,315959513
1636,316000613
1637,316141613
1638,316212613
1639,316353613
1640,316494613
1641,316545613
1642,316575613
1643,316626613
1644,316686613
1645,316696613
1646,316707613
1647,316828613
1648,316888613
1649,317060713
1650,317202713
1651,317252713
1652,317303713
1653,317313713
1654,317363713
1655,317424713
1656,317474713
1657,317565713
1658,317646713
1659,317727713
1660,317808713
1661,317838713
1662,317919713
1663,317949713
1664,317969713
1665,318010813
1666,318050813
1667,318080813
1668,318181813
1669,318191813
1670,318212813
1671,318272813
1672,318464813
1673,318484813
1674,318575813
1675,318595813
1676,318707813
1677,318787813
1678,318808813
1679,319050913
1680,319090913
1681,319131913
1682,319171913
1683,319191913
1684,319282913
1685,319353913
1686,319393913
1687,319404913
1688,319414913
1689,319494913
1690,319575913
1691,319606913
1692,319656913
1693,319717913
1694,319747913
1695,319797913
1696,319828913
1697,319909913
1698,319929913
1699,319969913
1700,319999913
1701,320060023
1702,320141023
1703,320151023
1704,320292023
1705,320313023
1706,320444023
1707,320565023
1708,320606023
1709,320636023
1710,320646023
1711,320787023
1712,320939023
1713,321242123
1714,321373123
1715,321383123
1716,321404123
1717,321757123
1718,321797123
1719,321848123
1720,321898123
1721,321949123
1722,321989123
1723,322030223
1724,322080223
1725,322161223
1726,322222223
1727,322282223
1728,322323223
1729,322414223
1730,322474223
1731,322494223
1732,322606223
1733,322707223
1734,322737223
1735,322828223
1736,322878223
1737,322939223
1738,322959223
1739,322989223
1740,323070323
1741,323090323
1742,323141323
1743,323222323
1744,323232323
1745,323333323
1746,323343323
1747,323414323
1748,323535323
1749,323676323
1750,323696323
1751,323777323
1752,323868323
1753,323979323
1754,323999323
1755,324050423
1756,324070423
1757,324101423
1758,324191423
1759,324202423
1760,324232423
1761,324343423
1762,324353423
1763,324434423
1764,324787423
1765,324797423
1766,324848423
1767,324949423
1768,325060523
1769,325080523
1770,325090523
1771,325161523
1772,325171523
1773,325191523
1774,325212523
1775,325272523
1776,325282523
1777,325363523
1778,325383523
1779,325626523
1780,325636523
1781,325686523
1782,325767523
1783,325777523
1784,325929523
1785,325989523
1786,325999523
1787,326111623
1788,326141623
1789,326181623
1790,326202623
1791,326252623
1792,326292623
1793,326303623
1794,326525623
1795,326616623
1796,326747623
1797,327050723
1798,327121723
1799,327272723
1800,327292723
1801,327353723
1802,327505723
1803,327515723
1804,327646723
1805,327656723
1806,327757723
1807,327898723
1808,327979723
